韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
			悸			
			瑰			
		6	跪			
		7	縣		11110	鼻
			櫃			鼻
			匱			鼻
	k	1	虧			
			巋			
		2	軌			
			匭			
			宄			
			晷			
			簋			
		3	季			
		5	葵			
			夔			
			揆			
			戣			
			睽			
			暌			
			逵			
			馗			
		6	饋	餽		
			愧	媿		
			匱			
			憒			
			潰			
			瞶			
			簣			
			蕢			
			瞶			
	ng	5	危			
			嵬			
			巍			
			隗			
		6	僞			
		7	魏		00001	
	gh	7	魏		11110	
	h	1	非			
			妃			
			徽			
			扉			
			揮			
			斐			
			墮			
			暉			
			緋			
			翡			
			翬			
			腓			
			菲			
			輝	煇		
			霏			
			啡			
			隳			
			騑			
			麾			
		2	匪			鼻
			卉			
			悱			
			榧			鼻
			毀	譭		鼻
			燬			鼻
			棐			鼻
			虺			鼻
			蜚			鼻
			誹			鼻
		3	費			
			剕			
			廢			
			喙			
			狒			
			痱	疿		
			肺			
			芾			
			諱			
		5	缶			
			懸		11000	鼻
		6	惠			
			賄		00001	
			彗			
			慧			
			蟪			
			蕙			
			恚			
			蔧			
	z	1	錐			
			隹			
			椎			
			檇			
			睢			
			騅			
			萑			
			濉			
		2	水			
		3	醉			
		6	綷			
			晬			
			悴			
			膵			
			猝			
			瘁			
			祟			
			萃			
			卒			
			淬	焠		
			贅			
			粹			
	c	1	推			
			催			
			璀			
			崔			
			摧			
			搋			
			膪			
		2	膗			
			脆			
			惴			
			揣			
			毳			
			撬			
			踹			
		3	碎			
			嘴			
			觜			
			啐			
			淬	焠		
			粹			
			綷			
			翠			
	s	1	雖			
			縗			
			蓑	簑		
			蕤			
			榱			
			荽			
		2	巂	嶲		
		5	隨			
			誰			
			垂			
			圌			
			燧			
			綏			
			遂			
			穟			
			邃			
			陲			
			隋			
			隧			
			棰	箠		
		6	睡			
			瑞			
		7	穗			
			繐			
	r	2	唯			
		5	維			
			濰			
			惟			
			帷			
		6	遺			
			唯			
歪	null	1	歪			
			挖		11011	
	g	1	乖			
		2	拐			
			柺			
		3	怪			
			儈			
			噲			
			劊			
			會			
			檜			
			澮			
			燴			
			獪			
			繪			
			膾			
			薈			
			蒯			
			擓			
		7	縣		00001	鼻
	k	3	快			
			筷			
	h	5	淮			
			槐			
			隗			
			懷			
		6	壞			
	s	2	甩			
		7	榱			鼻
汪	null	1	汪			
		2	往			
			枉			
		5	王			
		6	旺			
		8	獲		11100	
			穫		11100	
			蠖		11100	
			鑊		11100	
			矱		11100	
	bh	2	惘			
			罔			
			妄			
			魍			
			輞			
		5	亡			
			忘			
		6	望			
	g	1	光			
			觥			
			桄			
			誑	誆		
			洸			
			銧			
			胱			
		2	廣			
			綸			
			詗		11100	
			炯	烱	11100	
			絅		11100	
			迥		11100	
			耿		11100	
		4	崞			
			漷			
			廓			
			椁	槨		
			郭			
	k	1	傾		11000	
			圈			
			框			
			眶			
			逛			
		2	頃		11000	
		3	況			
			壙			
			曠			
			礦	鑛		
			貺			
			鄺			
		4	孑			
			擴			
			彍			
		5	狂			
			瓊		11000	
			煢	惸	11100	
	h	1	風			
			邡			
			方			
			鈁			
			慌			
			塃			
			芳			
			荒			
			瘋			
			肪			
			肓			
			枋			
			謊			
			坊			
		2	訪			
			仿	彷倣髣		
			幌			
			恍	怳		
			昉			
			晃			
			滉			
			紡			
			舫			
		3	放			
			泛		10111	脣
			泛		01000	
			氾		10111	脣
			氾		01000	
			汎		10111	脣
			汎		01000	
		4	法		10111	脣
			法		01000	
			砝		10111	脣
			砝		01000	
			珐	琺	10111	脣
			珐	琺	01000	
		5	凰			
			妨			
			喤			
			徨			
			惶			
			蘅		11100	
			蝗			
			蟥			
			湟			
			樊		10000	脣
			樊		01111	
			煌			
			皇			
			篁			
			璜			
			潢			
			簧			
			衡		11100	
			坊			
			遑			
			防			
			隍			
			鰉			
			黌			
			凡		10100	脣
			凡		01011	
		6	患		10111	脣
			患		01000	
			犯		10111	脣
			犯		01000	
			范		10111	脣
			范		01000	
			凡		10111	脣
			凡		01000	
			範		10111	脣
			範		01000	
			釩		10111	脣
			釩		01000	
	z	1	裝			
			妝	粧		
			奘			
			樁			
		6	撞			
			狀			
			噇			
			僮			
		8	蜀			
			濁			
			濯			
	c	2	闖			
		3	闖			
	s	1	宣			
			喧			
			揎			
			暄			
			渲			
			煊			
			瑄			
			楦			
			萱			
			楥			
			諼			
			悛			
		2	爽			
			嗓			
			搡			
			顙			
			磉			
		4	朔			
			嗍			
			搠			
			槊			
			蒴			
			數			
冤	null	1	冤			
			淵			
			灣			
			彎			
			眢			
			鴛			
		2	婉			
			苑			
			剜			
			惋			
			浣	澣		
			涴			
			畹			
			皖			
			睆			
			脘			
			腕			
			莞			
			蜿			
			豌			
			宛			
			琬			
		3	怨			
		4	曰		11100	
			斡			
		5	完			
			垸			
			員			
			盈		01000	
			椽			
			掾			
			緣			
			猿	猨		
			袁			
			轅			
			烷			
			櫞			
			芫			
		8	粵			
			越			
			樾			
			鉞			
			刖			
	b	6	叛			
		8	勃			
			孛			
			拔			
			鈸			
			渤			
			茇			
			脖	𩓐		
			荸			
			跋			
			餑			
			魃			
			鼥			
			鵓			
			𥎱			
	p	1	藩			
			藩			
			墦			
			膰			
			燔			
			鄱			
			璠			
		3	判			
			柈			
			拌			
			泮			
			畔			
			胖			
			絆			
		4	潑			
		5	磐			
			槃			
			盤			
			蹯			
			蹣			
			蟠			
	m	6	曼		00111	
			幔		00111	
			漫		00111	
			墁		00111	
			慢		00111	
			饅		00111	
			蔓		00111	
			幕		00111	
			謾		00111	
			嫚		00111	
		8	末			
			靺			
	bh	6	曼		11000	
			幔		11000	
			漫		11000	
			墁		11000	
			慢		11000	
			饅		11000	
			蔓		11000	
			幕		11000	
			謾		11000	
			嫚		11000	
		7	萬		11110	
	d	1	端	耑		
		3	煅	鍛		
			斷			
		6	篆			
			籪			
			斷			
			椴			
			段			
		7	傳		00011	
	t	5	傳			
			團			
			摶			
			漙			
			糰	䊜		
	n	2	暖	㬉煖	00111	
			餪		00111	
	l	2	暖	㬉煖	11000	
			餪		11000	
			卵			
		3	戀			
			攣			
			臠			
			孌			
			孿			
		4	劣			
			閱		11110	
			埒			
			捋			
		5	鑾			
			鸞			
			巒			
			灤			
			圞			
			孿			
			欒			
		6	亂			
	g	1	冠			
			觀			
			關			
			鰥			
		2	管			
			菅			
			棬			
			捲			
			琯			
			逭			
			莞			
			綰			
			館			
			鬈			
			綣			
		3	貫			
			毌			
			眷			
			慣			
			冠			
			觀			
			券			
			摜			
			灌			
			祼			
			罐	鏆鑵		
			顴			
			鸛			
			盥			
		4	决	決		
			刮			
			抉			
			括			
			栝			
			玦			
			玨	珏瑴		
			蛞			
			炔			
			䒷			
			譎			
			訣			
			䀨			
			鴰			
			颳			
		6	倦			
	k	1	寬			
			肱			
			髖			
		2	款			
		5	權			
			蜷			
			惓			
			踡			
	ng	2	玩			
			阮			
			頑			
		5	元			
			原			
			刓			
			塬			
			沅			
			源			
			芫	蒝		
			螈			
			羱			
			顏			
			黿			
		6	願			
			愿			
	h	1	翻			
			歡	懽		
			萑			
			反			
			幡	旛		
			宦		00001	
			番			
			獾	貛		
		2	反			
			返			
		3	換			
			喚			
			煥			
			幻			
			奐			
			販			
			渙			
			瘓			
		4	發			
			髮			
		5	圜			
			垣			
			寰			
			擐			
			澴			
			桓			
			洹			
			煩			
			環			
			礬			
			鐶			
			繁			
			轘			
			還			
			樊			
			鬟			
		6	飯			
			宦		11110	
			梵			
			豢			
		8	伐			
			乏			
			垡			
			穴			
			筏			
			罰			
			閥			
			茓			
	z	1	專	耑		
			湍			
			遄			
			顓			
		2	轉			
			囀			
		3	攢			
			賺			
		4	咄		11011	
			拙			
			準	凖		
			絀			
			茁			
		6	撰	譔		
			饌			
	c	1	川			
			穿			
			皴			
		2	湍			
			喘			
		3	串			
			攛			
			竄			
			爨			
			篡			
			躥			
			釧			
			鑹			
		4	啜			
			嘬			
			剟			
			惙			
			撮			
			掇			
			綴	裰		
			蕞			
			輟			
			咄		00100	
		5	拴			
			栓			
			牷			
			痊			
			筌			
			醛			
			荃			
			詮			
			銓			
			全			
	s	2	選			
		3	汆			
		5	旋			
			漩			
			璿			
		7	鏇	銑		
			璇	璿		
	r	2	纘			
			纂			
		8	悅			
			說			
			閱		00001	
榮	null	2	永		00011	
		3	咏	詠	00011	
			泳		00011	
		5	營		00011	
			瑩		00011	
			塋		00011	
			嶸		00011	
			榮		00011	
			滎		00011	
			熒		00011	
			㼆		00011	
			縈		00011	
			螢		00011	
			蠑		00011	
			嬴		00011	
			贏		00011	
			瀛		00011	
			盈		00011	
		6	孕		00011	
			媵		00011	
		8	獲		00011	
			穫		00011	
			蠖		00011	
			鑊		00011	
			矱		00011	
			役		00001	
	g	2	詗		00011	
			炯	烱	00011	
			絅		00011	
			迥		00011	
			耿		00011	
	k	1	傾		00011	
		2	頃		00011	
		5	瓊		00011	
			煢	惸	00011	
			宏		00011	
	h	5	蘅		00011	
			衡		00011	
		8	域		00011	
			惑		00011	
			或		00011	
			棫		00011	
			蜮		00011	
溫	null	1	溫			
			氳			
			瘟			
			薀			
			熅			
			醞			
		2	穩			
			縕			
			蘊			
			韞			
		3	搵			
			塭			
		4	兀			
			杌			
			矻			
			熨			
			膃			
			阢			
			鬱			
			菀			
			靰			
			尉			
			蔚			
		5	勻			
			云			
			焚			
			筠			
			紜			
			耘			
			芸			
			鄖			
		6	隕			
			慍			
			殞			
			縕			
			溳			
			蘊			
			媼			
		7	運			
			鄆			
			韻			
			云			
	b	1	方		11000	
			楓			
		2	本		11000	
			笨			
			苯		11000	
		3	畚			
			糞			
			拚			
		4	抔			
			不			
			鈈			
	p	1	奔			
			賁			
			錛			
		3	噴			
			濆			
			逩			
		5	盆			
			墳			
			湓			
	m	2	晚		11000	
		4	吻			
			刎			
		5	捫		11000	
			門		11000	
			們		11000	
		7	問		11000	
			璺		11000	
		8	殁			
			疫			
			沒			
	bh	1	蚊			
			燜			
		3	聞			
		5	文			
			汶			
			旻			
			抆			
			紋			
			聞			
			雯			
			閿			
			紊			
			玫			
		6	聞			
		7	悶			
			懣			
			紊			
	d	1	屯			
			敦			
			堆			
			墩	墪礅		
			惇			
			撴			
			榃			
			盹			
			肫	胗		
			諄			
			迍			
			鈍			
			囤			
		2	盾			
			躉			
			噸			
		3	扽			
		5	脣			
			窀			
		6	頓			
			燉	炖		
			遁			
			砘			
			沌			
		8	突			
			凸			
			朮			
			柮			
	t	1	吞			
			暾			
			飩			
		2	氽			
		4	脫			
			詘			
			怵			
			飿			
			黜			
		5	囤			
			屯			
			臀			
			魨			
			豚			
	n	3	嫩	嫰	00011	
	l	3	嫩	嫰	11100	
		5	倫			
			圇			
			掄			
			淪			
			輪			
			綸			
			侖			
		6	論			
		8	律			
			率			
			聿			
			葎			
			矞			
			鷸			
	g	1	君			
			軍			
			皸			
		2	滚	滾		
			衮	袞		
			輥			
			磙	𥕦		
			緄			
			鯀			
			掍			
		3	棍			
			捃			
		4	骨			
			鶻			
			餶			
			榾			
		5	裙	裠		
		6	郡			
		8	滑			
			汩			
			猾			
			掘			
			搰			
			倔			
	k	1	坤	堃		
			昆	崑崐		
			焜			
			醌			
			琨			
			髡			
		2	菌			
			囷			
			悃			
			梱			
			壼			
			捆	綑		
			窘			
			蕈			
			閫			
			麇	麕		
		3	困			
			睏			
		4	屈			
			搰			
			倔			
			窘			
			崛			
			窟	堀		
			詘			
			矻			
		5	拳			
			羣			
			麇	麕		
	h	1	分			
			昏			
			吩			
			枌			
			酚			
			渾			
			琿			
			棻			
			氛			
			汾			
			惛			
			婚			
			紛			
			葷			
			芬			
			烟	煙		
			菸			
			閽			
			雰			
		2	粉			
			忿			
			惲			
			憤			
		3	訓			
			奮			
		4	忽			
			唿			
			囫			
			弗			
			惚			
			怫			
			拂			
			刎			
			氟			
			淴			
			沸			
			祓			
			笏			
			芾			
			紼			
			紱			
			艴			
			茀			
			佛	彿髴		
			黻			
		5	雲			
			餛			
			蕓			
			魂			
			痕			
		6	渾			
			諢			
			圂			
			溷			
			混	溷		
		7	分			
			份			
		8	核	覈		
			佛			
	z	1	尊			
			撙			
			樽	罇		
			蹲			
			遵			
			鱒			
		2	准			
			隼			
			準			
		3	俊	㑺		
			峻			
			圳			
			捘			
			濬			
			浚			
			狻			
			朘			
			鐫			
			隽	雋		
			竣			
			餕			
			逡			
			駿			
			鵕	鵔		
		4	卒			
			帥			
			捽			
			摔			
			率			
		5	船	舩		
		8	秫			
			糯	穤		
	c	1	春			
			椿			
		2	蠢			
			忖			
			舛			
			荈			
		3	寸			
			吋			
		4	出			
			齣			
		5	存			
	s	1	孫			
			蓀			
			猻			
			飧	飱		
		2	損			
			笋	筍		
			榫			
		3	巽			
			遜			
			噀			
			瞬			
			舜			
		4	戌			
			摔			
			恤	卹		
			窣			
			蟀			
			𨄮			
			甩			
		5	旬			
			屯			
			侚			
			峋			
			巡			
			徇			
			循			
			恂			
			殉			
			洵			
			栒			
			淳			
			珣			
			純			
			蒓	蓴		
			絢			
			詢			
			郇			
			醇			
			馴			
			鶉			
			荀			
		6	順			
		8	術			
			述			
			沭			
	r	2	允			
			吮			
			狁			
		6	潤			
		7	閏			
秧	null	1	秧			
			恩		11000	
			摁		11000	
			蒽		11000	
		2	姆		10111	脣
			姆		01000	
			尹		11000	
			隱		11100	
		5	黃			
			磺			
			隍			
		6	嘸			脣
			嗯			
		7	㕶			
			嗯			
	b	1	方		00111	
		2	本		00111	
			甭			
			苯		00111	
	m	2	晚		00111	
		5	門		00111	
			們		00111	
			捫		00111	
		7	璺		00111	
			問		00111	
	d	1	當			
			鐺			
			鼟			
			噔			
		3	當			
		5	堂			
			唐			
			塘			
			腸			
		6	丈			
		7	塅			
			段			
			緞			
			傳		11100	
	t	1	湯			
		3	燙			
			褪			
		5	糖	醣		
		7	搪			
	n	2	女			
			釹			
			軟	輭		
			蠕	蝡		
		5	郎			
			莨			
			瓤			
		6	卵			
	g	1	缸			
			扛			
			掆			
			斤		11000	
			均		11000	
			巾		11000	
			根		11000	
			筋		11000	
			鈞		11000	
			觔		11000	
			跟		11000	
		2	卷			
			廑		11000	
			僅		11000	
			卺	巹	11000	
			槿		11000	
			殣		11000	
			瑾		11000	
			堇		11000	
			饉		11000	
			謹		11000	
		3	靳		11000	
			鋼			
			艮		11000	
			哏		11000	
			覲		11000	
			茛		11000	
		6	近		11000	
	k	1	糠	粇		
		2	墾		11000	
			懇		11000	
		3	勸			
		4	乞		11000	
		5	勤		11000	
			芹		11000	
	ng	3	誾		11000	
		4	契		11000	
			仡		11000	
			吃	喫	11000	
			嚙	齧囓	11000	
			圪		11000	
			屹		11000	
			疙		11000	
			紇		11000	
			訖		11000	
			迄		11000	
		5	銀		11000	
			齦		11000	
			齗		11000	
			鄞		11000	
			狺		11000	
			垠		11000	
			嚚		11000	
	h	1	殷		11000	
			欣		11000	
			勛	勳	11000	
			掀		11000	
			昕		11000	
			曛		11000	
			薰		11000	
			燻		11000	
			軒		11000	
			哼			
			醺		11000	
			方			
			鍁		11000	
		2	很		11000	
			狠		11000	
			哼			
			啈			
		5	園			
		6	恨		11000	
		7	𠮾			
	z	1	莊			
			贜	贓		
			磚	塼甎		
		3	葬			
			𠿺			
			鑽			
		7	狀			
	c	1	村	邨		
			倉			
			瘡			
			艙			
		3	刺			
		5	牀			
	s	1	霜			
			孀			
			桑			
			痠			
			酸			
			喪	䘮		
			孫			
		2	耍			
		3	算			
			蒜			
			筭			
恩	null	1	恩		00100	
			摁		00100	
			蒽		00100	
			殷		00100	
		2	尹		00100	
	g	1	斤		00100	
			均		00100	
			巾		00100	
			根		00100	
			筋		00100	
			鈞		00100	
			觔		00100	
			跟		00100	
		2	廑		00100	
			僅		00100	
			卺	巹	00100	
			槿		00100	
			殣		00100	
			瑾		00100	
			堇		00100	
			饉		00100	
			謹		00100	
		3	靳		00100	
			艮		00100	
			哏		00100	
			覲		00100	
			茛		00100	
		6	近		00100	
	k	2	墾		00100	
			懇		00100	
		4	乞		00100	
		5	勤		00100	
			芹		00100	
	ng	3	誾		00100	
		4	契		00100	
			仡		00100	
			吃	喫	00100	
			嚙	齧囓	00100	
			圪		00100	
			屹		00100	
			疙		00100	
			紇		00100	
			訖		00100	
			迄		00100	
		5	銀		00100	
			齦		00100	
			齗		00100	
			鄞		00100	
			狺		00100	
			垠		00100	
			嚚		00100	
	h	1	欣		00100	
			勛	勳	00100	
			掀		00100	
			昕		00100	
			曛		00100	
			薰		00100	
			燻		00100	
			軒		00100	
			醺		00100	
			鍁		00100	
		2	很		00100	
			狠		00100	
		6	恨		00100	
噯	null	6	噯			
		7	餡			
	p	3	冇			
			怕			
	m	1	嗎			
			麽	麼		
			媽			
			嘛			
		2	螞			
			嗎			
			媽			
			瑪			
			馬			
		3	麽	麼		
		4	嬷	嬤		
	d	1	擔			
			儋			
		2	膽			
		3	呾			
			擔			
		6	淡			
			氮			
			澹			
			擲			
	n	1	哪			
			那			
		2	哪			
			那			
			拿	拏		
			鎿			
		5	籃			
	g	1	柑			
		2	敢			
			橄			
		3	酵			
	s	1	三			
			衫			
			叁	叄		
			仨			
閑	null	5	閑			
			閒			
	b	2	版			
		5	爿			
		7	辦		00011	
	p	7	辦		11100	
			稗			
	d	6	第		11000	
			佃			
		7	𠕇			
			殿			
			靛			
	t	2	看			
			體		11001	
	n	5	蓮			
		7	楝			
	g	1	肩			
			掮			
			間			
		2	襇			
			繭			
			趼			
			揀			
		3	間			
	h	2	蜆			
		7	莧			
	z	5	前			
	c	1	千			
			仟			
		2	筅	箲		
			採		00011	
		5	蠶			
	s	1	先			
楹	null	5	楹			
	b	3	把			
			柄			
		5	棚			
		7	病			
	p	5	彭			
			澎			
			膨			
			蟛			
	m	2	蜢			
			猛			
		3	夜			
		4	咩			
			乜		00010	
		5	夜			
		7	駡	罵		
		8	脉	脈		
			霢			
	d	7	鄭			
	t	1	撑	撐		
	n	1	姈			
		2	冷			
	g	1	耕			
			埂			
			庚			
			羹			
			更			
			賡			
			鶊			
		2	哽			
			梗			
			綆			
			埂			
			骾			
			鯁			
		3	逕			
			頸			
			粳			
			剄		11100	
			勁			
			徑			
			痙			
			脛			
	k	1	坑	阬		
	ng	6	硬			
			勁			
	z	1	爭			
		2	井			
			阱			
			汫			
		5	晴			
		6	靜			
			竫			
	c	1	星			
			生			
			腥			
			菁			
			青			
			蜻			
			鯖			
			氰			
		2	醒			
	s	1	生			
			腥			
			牲			
		2	省			
		3	姓			
			性			
丸	null	2	以			
			圉			
			已			
			苢			
			椅			
			苡			
		3	燕			
			肄		00001	
		5	圓			
			丸			
			芄			
			紈			
			移		00001	
		7	院		11100	
			硯		11100	
			矣			
	b	1	辮			
			邊			
			鞭			
		6	辨			
	p	7	鼻			
	m	1	咪			
			瞇			
			乜			
		2	眯	瞇		
			美		00001	
			鎂		00001	
			娓		00001	
			亹			
			靡			
			芈	羋		
		4	乜		11101	
		5	棉			
			迷			
			醚			
			縻			
			糜			
			穈	敉		
			郿			
			麋			
			蘼			
			劘			
			湄			
		6	謎			
			媚			
			袂			
		7	麵	麪		
	d	5	纏			
			遞		11010	
	t	1	天			
	n	1	呢			
		2	弭			
			彌			
			瀰			
			獼			
			襧			
		3	泥			
			怩			
		5	泥			
			尼			
			鈮			
			呢			
			妮			
			旎			
			年			
	ng	2	擬		11100	
			儗		11100	
			議			
		3	誼			
			堄			
			鬩			
			囈			
			睨			
		5	宜			
			倪			
			猊			
			儀			
			羿			
			鯢			
			霓			
			麑			
			毅			
		6	乂			
			義			
			刈			
			劓			
			䴊			
			蟻		00101	
		7	硯		00011	
			院		00011	
	h	5	弦	絃		
	z	1	脂			
			支			
			氏			
			肢			
			歧			
			氈			
		2	稚	穉		
		3	箭			
			擠			
		5	錢			
	c	1	鮮			
		2	侈			
			恥			
			眵			
			齒			
	s	3	扇			
影	null	2	影			
		5	營			
			贏			
	b	1	冰			
			兵			
		2	丙			
			餅			
		3	拚			
			併			
	p	3	聘			
		5	坪			
	m	5	名			
		7	命			
	d	2	鼎			
		5	埕			
			呈			
		6	錠			
		7	定			
	t	1	聽			
			廳			
		5	程			
			呈			
	n	1	㖸			
		2	領			
			嶺			
	g	1	京			
			驚			
			麖			
			經			
		2	仔			
		3	鏡			
		5	行			
		6	件			
	ng	2	雅			
	h	1	兄			
		5	邢			
			顏			
		7	艾			
	z	1	晶			
			正			
			精			
		2	正			
			汫			
			整			
		3	正			
			鉦			
		5	成			
	c	2	且			
			請			
	s	1	聲			
		3	聖			
		5	成			
			城			
		7	𣛮			
羊	null	1	鴦			
		5	煬			
			羊			
			洋			
			烊			
			楊			
			融			
			溶			
			熔	鎔		
			蛘			
		7	樣			
	d	1	張			
			弶			
		3	釣			
			帳			
			脹			
			賬			
		5	場			
		6	丈			
			趙		11000	
	n	2	兩			
		5	娘	孃		
			量			
			糧			
			梁	樑		
	g	1	薑			
		5	強			
	k	1	腔			
	h	1	鄉			
			香			
	z	1	章			
			樟			
			漿			
		2	蔣			
			仉			
			槳			
			掌			
			礃			
		3	醬			
		6	上			
	c	1	槍	鎗		
		2	搶			
		5	牆			
		6	象			
			橡			
			像			
		7	匠			
			搶			
	s	1	傷			
			廂			
			鑲			
			箱			
		2	賞			
		3	相			
			像			
		5	常			
			嘗		11101	
			嚐		11101	
			償			
			鱨			
		6	想			
		7	邵			
幼	null	3	幼			
		5	又		00001	
	m	5	眸			
	n	2	扭			
			狃			
			紐			
			鈕			
			妞			
			忸			
			衄			
		5	繆			
		6	謬			
			繆			
	h	1	休			
			咻			
			髹			
			庥			
			貅			
			鵂			
			幽		11110	
			攸			
			悠			
			麀			
		2	朽			
		3	嗅			
			臭			
			溴			
			糗			
			復			
鞍	null	1	鞍			
			安			
		2	碗	盌椀		
		3	案	桉		
		6	旱			
	b	1	般			
			搬			
		3	半			
		5	盤			
	p	1	潘			
			番			
		6	伴			
	m	2	滿			
		5	麻			
			顢			
			蔴			
			痲			
			瞞			
			鰻			
	d	1	單			
			丹			
		3	旦			
		5	壇			
		6	惰			
	t	1	攤			
			灘			
			癱			
		3	炭			
			碳			
			羰			
	n	7	爛			
			攔			
	g	1	官			
			棺			
			杆			
			桿			
			肝			
			倌			
			秆	稈		
			乾			
		2	趕			
			剮			
			果		11101	
			寡		11000	
	h	7	焊	銲釬		
	z	1	撾			
		2	盞			
			琖			
		5	泉			
		7	賤			
	c	3	閂			
	s	1	山			
			汕			
		2	產			
			散			
		3	汕			
			傘	繖		
			散			
			綫	線		
			饊			
		5	腺			
